NOM_PROV,COD_PROV,NOM_CANT,COD_CANT,PRODUCCION,CONSUMO_INTERMEDIO,VAB,YEAR,TIPO
LOJA,11,Olmedo,1116,18109.5091612518,6895.98390829388,11213.525252958,2018,Provicional
LOS RÍOS,12,Babahoyo,1201,1339344.53290726,493436.488668606,845908.044238653,2018,Provicional
LOS RÍOS,12,Baba,1202,243941.406570206,78740.150616379,165201.255953827,2018,Provicional
LOS RÍOS,12,Montalvo,1203,153500.26039045,57620.2792038782,95879.9811865713,2018,Provicional
LOS RÍOS,12,Puebloviejo,1204,298180.927359882,99338.8936940728,198842.03366581,2018,Provicional
LOS RÍOS,12,Quevedo,1205,1571143.14691983,627744.647303687,943398.499616143,2018,Provicional
LOS RÍOS,12,Urdaneta,1206,153847.49188794,52437.1368464418,101410.355041498,2018,Provicional
LOS RÍOS,12,Ventanas,1207,415363.315481154,146458.813646344,268904.50183481,2018,Provicional
LOS RÍOS,12,Vinces,1208,287674.556194634,99420.6648368882,188253.891357746,2018,Provicional
LOS RÍOS,12,Palenque,1209,85353.533801091,27254.5903038549,58098.9434972361,2018,Provicional
LOS RÍOS,12,Buena Fé,1210,374936.687662124,127425.884639144,247510.803022981,2018,Provicional
LOS RÍOS,12,Valencia,1211,385594.508290721,125287.262231292,260307.246059429,2018,Provicional
LOS RÍOS,12,Mocache,1212,210549.479994645,65155.5764657994,145393.903528845,2018,Provicional
LOS RÍOS,12,Quinsaloma,1213,56041.1635289971,18051.4474103562,37989.7161186409,2018,Provicional
MANABÍ,13,Portoviejo,1301,2575273.05552659,994709.548610967,1580563.50691562,2018,Provicional
MANABÍ,13,Bolívar,1302,144574.640062074,55957.4975255523,88617.1425365222,2018,Provicional
MANABÍ,13,Chone,1303,476260.828885394,187998.522507969,288262.306377425,2018,Provicional
MANABÍ,13,El Carmen,1304,384417.537894838,154311.21711474,230106.320780098,2018,Provicional
MANABÍ,13,Flavio Alfaro,1305,69449.526214371,25877.2831662276,43572.2430481434,2018,Provicional
MANABÍ,13,Jipijapa,1306,175776.076960764,59491.2090373843,116284.867923379,2018,Provicional
MANABÍ,13,Junín,1307,278973.52787889,132206.344807456,146767.183071434,2018,Provicional
MANABÍ,13,Manta,1308,3335877.15403691,1486577.71528355,1849299.43875336,2018,Provicional
MANABÍ,13,Montecristi,1309,1546622.28273101,886852.395668674,659769.887062333,2018,Provicional
MANABÍ,13,Paján,1310,81543.8811828937,29214.6024820853,52329.2787008084,2018,Provicional
MANABÍ,13,Pichincha,1311,66008.3903941411,23756.6516717214,42251.7387224198,2018,Provicional
MANABÍ,13,Rocafuerte,1312,89381.9259576141,32382.6467772029,56999.2791804111,2018,Provicional
MANABÍ,13,Santa Ana,1313,99921.7465907042,37439.5564582669,62482.1901324373,2018,Provicional
MANABÍ,13,Sucre,1314,401138.190864904,195203.701789013,205934.48907589,2018,Provicional
MANABÍ,13,Tosagua,1315,171786.445732598,70846.8497831963,100939.595949402,2018,Provicional
MANABÍ,13,24 De Mayo,1316,49701.1076644846,16833.5184700109,32867.5891944737,2018,Provicional
MANABÍ,13,Pedernales,1317,209503.000941296,81022.5249066756,128480.47603462,2018,Provicional
MANABÍ,13,Olmedo,1318,21931.5107842793,8573.25049341155,13358.2602908678,2018,Provicional
MANABÍ,13,Puerto López,1319,69726.4017182827,27192.8450035953,42533.5567146874,2018,Provicional
MANABÍ,13,Jama,1320,53499.1057606107,20917.2314071395,32581.8743534712,2018,Provicional
MANABÍ,13,Jaramijó,1321,591359.165798175,350388.421597046,240970.744201129,2018,Provicional
MANABÍ,13,San Vicente,1322,76797.8832048995,29145.3158785159,47652.5673263836,2018,Provicional
MORONA SANTIAGO,14,Morona,1401,354039.416116043,128844.833415317,225194.582700726,2018,Provicional
MORONA SANTIAGO,14,Gualaquiza,1402,81632.3086914089,30667.0923501654,50965.2163412435,2018,Provicional
MORONA SANTIAGO,14,Limón-Indanza,1403,51972.2292388992,20327.2946812561,31644.9345576431,2018,Provicional
