CANTON_CODIGO,VOTOS_DANIEL_23,VOTOS_LUISA_23,SUFRAGANTES_23,PORC_LUISA_23,PORC_DANIEL_23,VOTOS_DANIEL_25,VOTOS_LUISA_25,SUFRAGANTES_25,PORC_LUISA_25,PORC_DANIEL_25
0645,26378.0,29164.0,59746.0,0.48813309677635325,0.441502359990627,30794.0,29224.0,63768.0,0.45828628779325054,0.4829067871032493
0650,1514.0,4097.0,5987.0,0.6843160180390847,0.2528812426925004,1490.0,4291.0,6109.0,0.7024062858078245,0.24390243902439024
0655,14840.0,4161.0,19797.0,0.21018336111532052,0.7496085265444259,15476.0,4380.0,20597.0,0.21265232800893333,0.7513715589648978
0660,4118.0,2216.0,6568.0,0.3373934226552984,0.626979293544458,4036.0,2284.0,6554.0,0.34848947207812025,0.6158071406774489
0661,4029.0,2191.0,6463.0,0.3390066532570014,0.6233947083397803,3849.0,2207.0,6313.0,0.34959607159828926,0.6096942816410581
0665,3057.0,1115.0,4511.0,0.24717357570383508,0.677676790068721,3046.0,1150.0,4537.0,0.25347145690985234,0.6713687458673132
0670,9266.0,4264.0,14338.0,0.2973915469382062,0.6462547077695634,9863.0,4474.0,15154.0,0.2952355813646562,0.6508512603932955
0675,3422.0,8321.0,13051.0,0.637575664700023,0.2622021301049728,4402.0,8104.0,13575.0,0.5969797421731123,0.32427255985267034
0680,32990.0,10906.0,47773.0,0.22828794507357714,0.6905574278358069,36091.0,10811.0,50048.0,0.21601262787723785,0.7211277173913043
0685,5625.0,2116.0,8195.0,0.25820622330689447,0.6863941427699817,6005.0,2019.0,8364.0,0.24139167862266858,0.7179579148732664
0690,5767.0,2925.0,9399.0,0.3112033195020747,0.6135759123310991,6171.0,2750.0,9464.0,0.29057480980557904,0.6520498732037193
0695,18651.0,14751.0,35424.0,0.4164126016260163,0.5265074525745257,19539.0,14360.0,35743.0,0.40175698738214477,0.5466524913969169
0700,12961.0,6369.0,20522.0,0.31034986843387585,0.6315661241594387,13812.0,6465.0,21318.0,0.30326484660849984,0.6479031804109203
0705,3499.0,1620.0,5473.0,0.29599853827882333,0.6393202996528412,3358.0,1421.0,5099.0,0.27868209452833886,0.6585605020592273
0710,9573.0,7957.0,19114.0,0.41629172334414566,0.5008370827665586,10968.0,7270.0,19529.0,0.3722668851451687,0.5616262993496851
0715,11441.0,22159.0,37644.0,0.5886462650090319,0.3039262565083413,14346.0,20884.0,38805.0,0.5381780698363613,0.36969462698105915
0720,12868.0,18906.0,34672.0,0.5452814951545916,0.3711352099676973,14982.0,18852.0,36303.0,0.5192959259565325,0.4126931658540616
0725,14692.0,15977.0,33111.0,0.48252846486062034,0.4437196097973483,17062.0,15667.0,34940.0,0.44839725243274187,0.4883228391528334
0730,2406.0,4490.0,7212.0,0.622573488630061,0.3336106489184692,2819.0,4014.0,7117.0,0.5640016861036954,0.396093859772376
0735,15001.0,20359.0,38714.0,0.5258821098310689,0.3874825644469701,17392.0,19559.0,40092.0,0.4878529382420433,0.433802254813928
0740,2126.0,1123.0,3398.0,0.3304885226603885,0.6256621542083579,2005.0,1132.0,3261.0,0.3471327813554124,0.6148420729837473
0745,3546.0,4051.0,8131.0,0.49821670151272907,0.43610871971467224,3609.0,4211.0,8302.0,0.5072271741748976,0.4347145266200915
0750,2682.0,12402.0,16587.0,0.7476939772110689,0.16169289202387413,3746.0,11374.0,16599.0,0.685222001325381,0.22567624555696125
0755,2477.0,1971.0,4685.0,0.4207043756670224,0.528708644610459,2461.0,1925.0,4605.0,0.4180238870792617,0.5344191096634093
0760,8754.0,3307.0,12982.0,0.254737328608843,0.6743182868587275,9424.0,2993.0,13089.0,0.22866529146611658,0.7199938879975551
0765,2829.0,2811.0,6354.0,0.4423984891406988,0.4452313503305005,2949.0,2764.0,6324.0,0.4370651486401012,0.4663187855787476
0770,5421.0,3949.0,10157.0,0.38879590430245153,0.5337205867874373,5872.0,3910.0,10386.0,0.3764683227421529,0.5653764683227421
0775,4990.0,2183.0,7633.0,0.28599502161666446,0.6537403380060265,5389.0,2337.0,8159.0,0.2864321608040201,0.6604976100012256
